Project Code,Project Name,Resource,Segment Start,Segment End,Hard Allocation (PD),Soft Allocation (PD)
AP1008,Employee Benefits Admin Application,nicoleLewis,01.Sep.2025,01.Dec.2025,0.0,0.0
AP1008,Employee Benefits Admin Application,nicoleLewis,01.Dec.2025,01.Mar.2026,0.0,0.0
AP1008,Employee Benefits Admin Application,nicoleLewis,01.Mar.2026,01.Jun.2026,0.0,0.0
AP1008,Employee Benefits Admin Application,edLevert,01.Jun.2024,01.Sep.2024,0.0,0.0
AP1008,Employee Benefits Admin Application,edLevert,01.Sep.2024,01.Dec.2024,0.0,0.0
AP1008,Employee Benefits Admin Application,edLevert,01.Dec.2024,01.Mar.2025,0.0,0.0
AP1008,Employee Benefits Admin Application,edLevert,01.Mar.2025,01.Jun.2025,0.0,0.0
AP1008,Employee Benefits Admin Application,edLevert,01.Jun.2025,01.Sep.2025,0.0,0.0
AP1008,Employee Benefits Admin Application,edLevert,01.Sep.2025,01.Dec.2025,0.0,0.0
AP1008,Employee Benefits Admin Application,edLevert,01.Dec.2025,01.Mar.2026,0.0,0.0
AP1008,Employee Benefits Admin Application,edLevert,01.Mar.2026,01.Jun.2026,0.0,0.0
AP1009,Call Contact Center Application,edLevert,01.Sep.2024,01.Dec.2024,0.0,0.0
AP1009,Call Contact Center Application,edLevert,01.Dec.2024,01.Mar.2025,0.0,0.0
AP1009,Call Contact Center Application,edLevert,01.Mar.2025,01.Jun.2025,0.0,0.0
AP1009,Call Contact Center Application,edLevert,01.Jun.2025,01.Sep.2025,0.0,0.0
AP1009,Call Contact Center Application,edLevert,01.Sep.2025,01.Dec.2025,0.0,0.0
AP1009,Call Contact Center Application,edLevert,01.Dec.2025,01.Mar.2026,0.0,0.0
AP1009,Call Contact Center Application,edLevert,01.Mar.2026,01.Jun.2026,0.0,0.0
AP1009,Call Contact Center Application,edLevert,01.Jun.2026,01.Sep.2026,0.0,0.0
AP1009,Call Contact Center Application,markGoldman,01.Sep.2024,01.Dec.2024,0.0,0.0
AP1009,Call Contact Center Application,markGoldman,01.Dec.2024,01.Mar.2025,0.0,0.0
AP1009,Call Contact Center Application,markGoldman,01.Mar.2025,01.Jun.2025,0.0,0.0
AP1009,Call Contact Center Application,markGoldman,01.Jun.2025,01.Sep.2025,0.0,0.0
AP1009,Call Contact Center Application,markGoldman,01.Sep.2025,01.Dec.2025,0.0,0.0
AP1009,Call Contact Center Application,markGoldman,01.Dec.2025,01.Mar.2026,0.0,0.0
AP1009,Call Contact Center Application,markGoldman,01.Mar.2026,01.Jun.2026,0.0,0.0
AP1009,Call Contact Center Application,markGoldman,01.Jun.2026,01.Sep.2026,0.0,0.0
AP1009,Call Contact Center Application,seanEvans,01.Sep.2024,01.Dec.2024,0.0,0.0
AP1009,Call Contact Center Application,seanEvans,01.Dec.2024,01.Mar.2025,0.0,0.0
AP1009,Call Contact Center Application,seanEvans,01.Mar.2025,01.Jun.2025,0.0,0.0
AP1009,Call Contact Center Application,seanEvans,01.Jun.2025,01.Sep.2025,0.0,0.0
AP1009,Call Contact Center Application,seanEvans,01.Sep.2025,01.Dec.2025,0.0,0.0
AP1009,Call Contact Center Application,seanEvans,01.Dec.2025,01.Mar.2026,0.0,0.0
AP1009,Call Contact Center Application,seanEvans,01.Mar.2026,01.Jun.2026,0.0,0.0
AP1009,Call Contact Center Application,seanEvans,01.Jun.2026,01.Sep.2026,0.0,0.0
AP1010,Altus Online Order Application,dianeStewart,01.May.2024,01.Aug.2024,0.0,0.0
AP1010,Altus Online Order Application,dianeStewart,01.Aug.2024,01.Nov.2024,0.0,0.0
AP1010,Altus Online Order Application,dianeStewart,01.Nov.2024,01.Feb.2025,0.0,0.0
AP1010,Altus Online Order Application,dianeStewart,01.Feb.2025,01.May.2025,0.0,0.0
AP1010,Altus Online Order Application,dianeStewart,01.May.2025,01.Aug.2025,0.0,0.0
AP1010,Altus Online Order Application,dianeStewart,01.Aug.2025,01.Nov.2025,0.0,0.0
AP1010,Altus Online Order Application,dianeStewart,01.Nov.2025,01.Feb.2026,0.0,0.0
AP1010,Altus Online Order Application,dianeStewart,01.Feb.2026,01.May.2026,0.0,0.0
AP1010,Altus Online Order Application,jasonSauer,01.May.2024,01.Aug.2024,0.0,0.0
AP1010,Altus Online Order Application,jasonSauer,01.Aug.2024,01.Nov.2024,0.0,0.0
AP1010,Altus Online Order Application,jasonSauer,01.Nov.2024,01.Feb.2025,0.0,0.0
AP1010,Altus Online Order Application,jasonSauer,01.Feb.2025,01.May.2025,0.0,0.0
AP1010,Altus Online Order Application,jasonSauer,01.May.2025,01.Aug.2025,0.0,0.0
AP1010,Altus Online Order Application,jasonSauer,01.Aug.2025,01.Nov.2025,0.0,0.0
AP1010,Altus Online Order Application,jasonSauer,01.Nov.2025,01.Feb.2026,0.0,0.0
AP1010,Altus Online Order Application,jasonSauer,01.Feb.2026,01.May.2026,0.0,0.0
AP1011,BrightStor Storage Resource Manager for MS Exchange,maryNewburg,01.Jul.2024,01.Oct.2024,0.0,0.0
AP1011,BrightStor Storage Resource Manager for MS Exchange,maryNewburg,01.Oct.2024,01.Jan.2025,0.0,0.0
AP1011,BrightStor Storage Resource Manager for MS Exchange,maryNewburg,01.Jan.2025,01.Apr.2025,0.0,0.0
AP1011,BrightStor Storage Resource Manager for MS Exchange,maryNewburg,01.Apr.2025,01.Jul.2025,0.0,0.0
AP1011,BrightStor Storage Resource Manager for MS Exchange,maryNewburg,01.Jul.2025,01.Oct.2025,0.0,0.0
AP1011,BrightStor Storage Resource Manager for MS Exchange,maryNewburg,01.Oct.2025,01.Jan.2026,0.0,0.0
AP1011,BrightStor Storage Resource Manager for MS Exchange,maryNewburg,01.Jan.2026,01.Apr.2026,0.0,0.0
AP1011,BrightStor Storage Resource Manager for MS Exchange,maryNewburg,01.Apr.2026,01.Jul.2026,0.0,0.0
AP1012,Global Expense Application,randyMiller,01.May.2024,01.Aug.2024,0.0,0.0
AP1012,Global Expense Application,randyMiller,01.Aug.2024,01.Nov.2024,0.0,0.0
AP1012,Global Expense Application,randyMiller,01.Nov.2024,01.Feb.2025,0.0,0.0
AP1012,Global Expense Application,randyMiller,01.Feb.2025,01.May.2025,0.0,0.0
AP1012,Global Expense Application,randyMiller,01.May.2025,01.Aug.2025,0.0,0.0
AP1012,Global Expense Application,randyMiller,01.Aug.2025,01.Nov.2025,0.0,0.0
AP1012,Global Expense Application,randyMiller,01.Nov.2025,01.Feb.2026,0.0,0.0
AP1012,Global Expense Application,randyMiller,01.Feb.2026,01.May.2026,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.networkEngineer,01.Jul.2024,01.Oct.2024,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.networkEngineer,01.Oct.2024,01.Jan.2025,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.networkEngineer,01.Jan.2025,01.Apr.2025,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.networkEngineer,01.Apr.2025,01.Jul.2025,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.networkEngineer,01.Jul.2025,01.Oct.2025,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.networkEngineer,01.Oct.2025,01.Jan.2026,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.networkEngineer,01.Jan.2026,01.Apr.2026,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.networkEngineer,01.Apr.2026,01.Jul.2026,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.storageArchitect,01.Jul.2024,01.Oct.2024,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.storageArchitect,01.Oct.2024,01.Jan.2025,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.storageArchitect,01.Jan.2025,01.Apr.2025,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.storageArchitect,01.Apr.2025,01.Jul.2025,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.storageArchitect,01.Jul.2025,01.Oct.2025,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.storageArchitect,01.Oct.2025,01.Jan.2026,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.storageArchitect,01.Jan.2026,01.Apr.2026,0.0,0.0
AS1001,Dell PowerVault NX1950 Network Storage,csk.storageArchitect,01.Apr.2026,01.Jul.2026,0.0,0.0
AS1002,BEA Weblogic 10.0 Application Server,csk.architect,01.Aug.2024,01.Nov.2024,0.0,0.0
AS1002,BEA Weblogic 10.0 Application Server,csk.architect,01.Nov.2024,01.Feb.2025,0.0,0.0
AS1002,BEA Weblogic 10.0 Application Server,csk.architect,01.Feb.2025,01.May.2025,0.0,0.0
AS1002,BEA Weblogic 10.0 Application Server,csk.architect,01.May.2025,01.Aug.2025,0.0,0.0
AS1002,BEA Weblogic 10.0 Application Server,csk.architect,01.Aug.2025,01.Nov.2025,0.0,0.0
AS1002,BEA Weblogic 10.0 Application Server,csk.architect,01.Nov.2025,01.Feb.2026,0.0,0.0
AS1002,BEA Weblogic 10.0 Application Server,csk.architect,01.Feb.2026,01.May.2026,0.0,0.0
AS1002,BEA Weblogic 10.0 Application Server,csk.architect,01.May.2026,01.Aug.2026,0.0,0.0
AS1003,APJ Data Center,csk.projectManager,01.May.2024,01.Aug.2024,0.0,0.0
AS1003,APJ Data Center,csk.projectManager,01.Aug.2024,01.Nov.2024,0.0,0.0
AS1003,APJ Data Center,csk.projectManager,01.Nov.2024,01.Feb.2025,0.0,0.0
AS1003,APJ Data Center,csk.projectManager,01.Feb.2025,01.May.2025,0.0,0.0
AS1003,APJ Data Center,csk.projectManager,01.May.2025,01.Aug.2025,0.0,0.0
AS1003,APJ Data Center,csk.projectManager,01.Aug.2025,01.Nov.2025,0.0,0.0
AS1003,APJ Data Center,csk.projectManager,01.Nov.2025,01.Feb.2026,0.0,0.0
AS1003,APJ Data Center,csk.projectManager,01.Feb.2026,01.May.2026,0.0,0.0
AS1003,APJ Data Center,csk.testEngineer,01.May.2024,01.Aug.2024,0.0,0.0
AS1003,APJ Data Center,csk.testEngineer,01.Aug.2024,01.Nov.2024,0.0,0.0
AS1003,APJ Data Center,csk.testEngineer,01.Nov.2024,01.Feb.2025,0.0,0.0
AS1003,APJ Data Center,csk.testEngineer,01.Feb.2025,01.May.2025,0.0,0.0
AS1003,APJ Data Center,csk.testEngineer,01.May.2025,01.Aug.2025,0.0,0.0
AS1003,APJ Data Center,csk.testEngineer,01.Aug.2025,01.Nov.2025,0.0,0.0
AS1003,APJ Data Center,csk.testEngineer,01.Nov.2025,01.Feb.2026,0.0,0.0
AS1003,APJ Data Center,csk.testEngineer,01.Feb.2026,01.May.2026,0.0,0.0
AS1003,APJ Data Center,csk.businessAnalyst,01.May.2024,01.Aug.2024,0.0,0.0
AS1003,APJ Data Center,csk.businessAnalyst,01.Aug.2024,01.Nov.2024,0.0,0.0
AS1003,APJ Data Center,csk.businessAnalyst,01.Nov.2024,01.Feb.2025,0.0,0.0
AS1003,APJ Data Center,csk.businessAnalyst,01.Feb.2025,01.May.2025,0.0,0.0
AS1003,APJ Data Center,csk.businessAnalyst,01.May.2025,01.Aug.2025,0.0,0.0
AS1003,APJ Data Center,csk.businessAnalyst,01.Aug.2025,01.Nov.2025,0.0,0.0
AS1003,APJ Data Center,csk.businessAnalyst,01.Nov.2025,01.Feb.2026,0.0,0.0
AS1003,APJ Data Center,csk.businessAnalyst,01.Feb.2026,01.May.2026,0.0,0.0
AS1006,NA Research and Development Center,csk.projectManager,01.May.2024,01.Aug.2024,0.0,0.0
AS1006,NA Research and Development Center,csk.projectManager,01.Aug.2024,01.Nov.2024,0.0,0.0
AS1006,NA Research and Development Center,csk.projectManager,01.Nov.2024,01.Feb.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.projectManager,01.Feb.2025,01.May.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.projectManager,01.May.2025,01.Aug.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.projectManager,01.Aug.2025,01.Nov.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.projectManager,01.Nov.2025,01.Feb.2026,0.0,0.0
AS1006,NA Research and Development Center,csk.projectManager,01.Feb.2026,01.May.2026,0.0,0.0
AS1006,NA Research and Development Center,csk.testEngineer,01.May.2024,01.Aug.2024,0.0,0.0
AS1006,NA Research and Development Center,csk.testEngineer,01.Aug.2024,01.Nov.2024,0.0,0.0
AS1006,NA Research and Development Center,csk.testEngineer,01.Nov.2024,01.Feb.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.testEngineer,01.Feb.2025,01.May.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.testEngineer,01.May.2025,01.Aug.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.testEngineer,01.Aug.2025,01.Nov.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.testEngineer,01.Nov.2025,01.Feb.2026,0.0,0.0
AS1006,NA Research and Development Center,csk.testEngineer,01.Feb.2026,01.May.2026,0.0,0.0
AS1006,NA Research and Development Center,csk.architect,01.May.2024,01.Aug.2024,0.0,0.0
AS1006,NA Research and Development Center,csk.architect,01.Aug.2024,01.Nov.2024,0.0,0.0
AS1006,NA Research and Development Center,csk.architect,01.Nov.2024,01.Feb.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.architect,01.Feb.2025,01.May.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.architect,01.May.2025,01.Aug.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.architect,01.Aug.2025,01.Nov.2025,0.0,0.0
AS1006,NA Research and Development Center,csk.architect,01.Nov.2025,01.Feb.2026,0.0,0.0
AS1006,NA Research and Development Center,csk.architect,01.Feb.2026,01.May.2026,0.0,0.0
AS1007,NA Data Center,csk.projectManager,01.Oct.2024,01.Jan.2025,0.0,0.0
AS1007,NA Data Center,csk.projectManager,01.Jan.2025,01.Apr.2025,0.0,0.0
AS1007,NA Data Center,csk.projectManager,01.Apr.2025,01.Jul.2025,0.0,0.0
AS1007,NA Data Center,csk.projectManager,01.Jul.2025,01.Oct.2025,0.0,0.0
AS1007,NA Data Center,csk.projectManager,01.Oct.2025,01.Jan.2026,0.0,0.0
AS1007,NA Data Center,csk.projectManager,01.Jan.2026,01.Apr.2026,0.0,0.0
AS1007,NA Data Center,csk.projectManager,01.Apr.2026,01.Jul.2026,0.0,0.0
AS1007,NA Data Center,csk.projectManager,01.Jul.2026,01.Oct.2026,0.0,0.0
AS1007,NA Data Center,csk.businessAnalyst,01.Oct.2024,01.Jan.2025,0.0,0.0
AS1007,NA Data Center,csk.businessAnalyst,01.Jan.2025,01.Apr.2025,0.0,0.0
AS1007,NA Data Center,csk.businessAnalyst,01.Apr.2025,01.Jul.2025,0.0,0.0
AS1007,NA Data Center,csk.businessAnalyst,01.Jul.2025,01.Oct.2025,0.0,0.0
AS1007,NA Data Center,csk.businessAnalyst,01.Oct.2025,01.Jan.2026,0.0,0.0
AS1007,NA Data Center,csk.businessAnalyst,01.Jan.2026,01.Apr.2026,0.0,0.0
AS1007,NA Data Center,csk.businessAnalyst,01.Apr.2026,01.Jul.2026,0.0,0.0
AS1007,NA Data Center,csk.businessAnalyst,01.Jul.2026,01.Oct.2026,0.0,0.0
AS1007,NA Data Center,csk.storageArchitect,01.Oct.2024,01.Jan.2025,0.0,0.0
AS1007,NA Data Center,csk.storageArchitect,01.Jan.2025,01.Apr.2025,0.0,0.0
AS1007,NA Data Center,csk.storageArchitect,01.Apr.2025,01.Jul.2025,0.0,0.0
AS1007,NA Data Center,csk.storageArchitect,01.Jul.2025,01.Oct.2025,0.0,0.0
AS1007,NA Data Center,csk.storageArchitect,01.Oct.2025,01.Jan.2026,0.0,0.0
AS1007,NA Data Center,csk.storageArchitect,01.Jan.2026,01.Apr.2026,0.0,0.0
AS1007,NA Data Center,csk.storageArchitect,01.Apr.2026,01.Jul.2026,0.0,0.0
AS1007,NA Data Center,csk.storageArchitect,01.Jul.2026,01.Oct.2026,0.0,0.0
AS1010,APJ Research and Development Center,csk.projectManager,01.Aug.2024,01.Nov.2024,0.0,0.0
AS1010,APJ Research and Development Center,csk.projectManager,01.Nov.2024,01.Feb.2025,0.0,0.0
AS1010,APJ Research and Development Center,csk.projectManager,01.Feb.2025,01.May.2025,0.0,0.0
AS1010,APJ Research and Development Center,csk.projectManager,01.May.2025,01.Aug.2025,0.0,0.0
AS1010,APJ Research and Development Center,csk.projectManager,01.Aug.2025,01.Nov.2025,0.0,0.0
AS1010,APJ Research and Development Center,csk.projectManager,01.Nov.2025,01.Feb.2026,0.0,0.0
AS1010,APJ Research and Development Center,csk.projectManager,01.Feb.2026,01.May.2026,0.0,0.0
AS1010,APJ Research and Development Center,csk.projectManager,01.May.2026,01.Aug.2026,0.0,0.0
AS1010,APJ Research and Development Center,csk.testEngineer,01.Aug.2024,01.Nov.2024,0.0,0.0
AS1010,APJ Research and Development Center,csk.testEngineer,01.Nov.2024,01.Feb.2025,0.0,0.0
AS1010,APJ Research and Development Center,csk.testEngineer,01.Feb.2025,01.May.2025,0.0,0.0
AS1010,APJ Research and Development Center,csk.testEngineer,01.May.2025,01.Aug.2025,0.0,0.0
AS1010,APJ Research and Development Center,csk.testEngineer,01.Aug.2025,01.Nov.2025,0.0,0.0
AS1010,APJ Research and Development Center,csk.testEngineer,01.Nov.2025,01.Feb.2026,0.0,0.0
AS1010,APJ Research and Development Center,csk.testEngineer,01.Feb.2026,01.May.2026,0.0,0.0
AS1010,APJ Research and Development Center,csk.testEngineer,01.May.2026,01.Aug.2026,0.0,0.0
AS1012,LATAM Data Center,csk.projectManager,01.Sep.2024,01.Dec.2024,0.0,0.0
AS1012,LATAM Data Center,csk.projectManager,01.Dec.2024,01.Mar.2025,0.0,0.0
AS1012,LATAM Data Center,csk.projectManager,01.Mar.2025,01.Jun.2025,0.0,0.0
AS1012,LATAM Data Center,csk.projectManager,01.Jun.2025,01.Sep.2025,0.0,0.0
AS1012,LATAM Data Center,csk.projectManager,01.Sep.2025,01.Dec.2025,0.0,0.0
AS1012,LATAM Data Center,csk.projectManager,01.Dec.2025,01.Mar.2026,0.0,0.0
AS1012,LATAM Data Center,csk.projectManager,01.Mar.2026,01.Jun.2026,0.0,0.0
AS1012,LATAM Data Center,csk.projectManager,01.Jun.2026,01.Sep.2026,0.0,0.0
